life,orbit_class,geo_longitude,perigee,apogee,eccentricity,inclination,period,launch_mass,gov,com,mil
1,Ellip,0,460,33200,0.705603448,31,580,350,TRUE,FALSE,FALSE
1,Ellip,0,952,1155,0.013672796,31,106.27,348,TRUE,FALSE,FALSE
2,Ellip,0,6292,156833,0.856003184,53.95,4032.86,4000,TRUE,FALSE,FALSE
2,Ellip,0,461,87304,0.864066464,15.7,1868.98,126,TRUE,FALSE,FALSE
2,Ellip,0,467,87260,0.863895608,15.7,1867.91,126,TRUE,FALSE,FALSE
2,Ellip,0,474,87526,0.864125472,15.7,1875.53,126,TRUE,FALSE,FALSE
3,Ellip,0,1375,70009,0.815867053,28.9,1433,1360,TRUE,FALSE,FALSE
3,Ellip,0,1357,70117,0.81649132,29,1433,1360,TRUE,FALSE,FALSE
3,Ellip,0,1429,70045,0.81478139,29,1433,1360,TRUE,FALSE,FALSE
3,Ellip,0,1317,70157,0.817441281,29,1433,1360,TRUE,FALSE,FALSE
4,Ellip,0,17240,120715,0.686651846,90.8,3431.1,1200,TRUE,FALSE,FALSE
4,Ellip,0,21998,110256,0.60870105,90.7,3418.2,1200,TRUE,FALSE,FALSE
4,Ellip,0,22017,110791,0.60992937,132.98,3430.28,1200,TRUE,FALSE,FALSE
4,Ellip,0,17313,120961,0.686346961,90.7,3442,1200,TRUE,FALSE,FALSE
5,Ellip,0,9999,138825,0.797368226,28.5,3808.92,4742,TRUE,FALSE,FALSE
5,Ellip,0,1000,330000,0.957118753,51.46,11520,3660,TRUE,FALSE,FALSE
7,Ellip,0,1025,39754,0.723649545,63.3,717.8,2200,TRUE,FALSE,FALSE
7,Ellip,0,1494,38860,0.703770671,63.77,718.04,2500,FALSE,FALSE,TRUE
7,Ellip,0,962,39398,0.723841808,62.82,717.88,2500,FALSE,FALSE,TRUE
7,Ellip,0,986,39735,0.724808739,62.8,725.21,2500,FALSE,FALSE,TRUE
7,Ellip,0,1036,39308,0.720970537,62.84,717.56,2500,FALSE,FALSE,TRUE
8,Ellip,0,241,689,0.032772495,97.4,93.9,1000,TRUE,FALSE,FALSE
8,Ellip,0,244,691,0.032687386,97.3,93.9,1000,TRUE,FALSE,FALSE
8,Ellip,0,243,695,0.033045767,97.4,93.9,3000,TRUE,FALSE,FALSE
10,Ellip,0,500,39850,0.741194199,63.4,717.7,,FALSE,FALSE,TRUE
10,Ellip,0,400,39966,0.745038225,60,718,,FALSE,FALSE,TRUE
10,Ellip,0,7079,114027,0.7990377,38.4,2872.15,3764,TRUE,FALSE,FALSE
12,Ellip,0,17231,25971,0.156233242,49.78,776.25,733,FALSE,TRUE,FALSE
12,Ellip,0,13810,25918,0.230769231,49.77,705.11,733,FALSE,TRUE,FALSE
15,Ellip,0,23783,47100,0.27883477,63.3,1418.5,3727,FALSE,TRUE,FALSE
15,Ellip,0,12849,47048,0.470820656,63.3,1148.43,3792,FALSE,TRUE,FALSE
15,Ellip,0,6179,47086,0.619756079,63.4,994.83,3727,FALSE,TRUE,FALSE
20,Ellip,0,258,268488,0.952907072,29.6,8758,362,TRUE,FALSE,FALSE
2,GEO,0,36097,36110,0.000153037,0.3,1436,1000,FALSE,FALSE,TRUE
3,GEO,112,35760,35816,0.000664168,2.19,1436.19,1390,TRUE,FALSE,FALSE
4,GEO,72.67,35738,35834,0.001138628,1.97,1436.1,3200,FALSE,FALSE,TRUE
4,GEO,71.44,35786,35787,1.19E-05,2.16,1436.1,3200,FALSE,FALSE,TRUE
4,GEO,-177.12,35763,35775,0.000142386,3.34,1435.22,3200,FALSE,FALSE,TRUE
4,GEO,172.28,35772,35794,0.000260954,5.24,1435.94,3206,FALSE,FALSE,TRUE
5,GEO,8.77,35780,35800,0.000237192,0.1,1436.27,2380,FALSE,FALSE,TRUE
5,GEO,79,35770,35804,0.000403255,2.08,1436.1,1380,TRUE,FALSE,FALSE
5,GEO,-14.74,35745,35829,0.000996276,8.97,1436.13,2310,FALSE,FALSE,TRUE
5,GEO,70,35784,35788,4.74E-05,0.01,1436.06,2500,FALSE,FALSE,TRUE
5,GEO,70.04,35777,35797,0.000237209,0.1,1436.13,2400,FALSE,FALSE,TRUE
5,GEO,-102,35779,35791,0.000142332,28,1436.03,3100,TRUE,FALSE,FALSE
7,GEO,75,35768,35801,0.000391417,0.28,1436,3200,FALSE,FALSE,TRUE
7,GEO,74,35757,35814,0.000676068,0.19,1436,2650,FALSE,FALSE,TRUE
7,GEO,0,35784,35791,8.30E-05,1.8,1436.15,2000,TRUE,FALSE,FALSE
7,GEO,-1.3,35785,35787,2.37E-05,13.6,1436.07,1474,FALSE,FALSE,TRUE
7,GEO,35.58,35774,35797,0.0002728,4.99,1436.06,1510,FALSE,FALSE,TRUE
8,GEO,80,35775,35799,0.00028465,1.84,1436.11,3800,TRUE,FALSE,TRUE
8,GEO,100.3,35676,35890,0.002538372,54.97,1435.92,4200,TRUE,FALSE,TRUE
8,GEO,144,35776,35794,0.000213498,1.84,1436.1,3800,TRUE,FALSE,TRUE
8,GEO,107.48,35796,36781,0.011545179,54.9,1461.81,4200,TRUE,FALSE,TRUE
8,GEO,89.5,35606,35953,0.0041163,55,1435.73,4200,TRUE,FALSE,TRUE
8,GEO,110,35691,35876,0.002194361,55,1436.1,800,TRUE,FALSE,TRUE
8,GEO,144.5,35776,35795,0.000225356,3,1436.06,800,TRUE,FALSE,TRUE
8,GEO,110.03,35711,35847,0.001613324,55,1435.7,800,TRUE,FALSE,TRUE
8,GEO,144.48,35773,35799,0.000308378,1.81,1436.06,800,TRUE,FALSE,TRUE
8,GEO,105.99,35739,35838,0.00117414,55.05,1436.2,800,TRUE,FALSE,TRUE
8,GEO,106.72,35681,35896,0.002549901,58.2,1436.2,4200,TRUE,FALSE,TRUE
8,GEO,111,35764,35809,0.000533726,3.09,1436.1,800,TRUE,FALSE,TRUE
8,GEO,80,35776,35797,0.000249072,3.08,1436.08,2200,TRUE,FALSE,TRUE
8,GEO,160,35764,35809,0.000533726,1.43,1436.1,6000,TRUE,FALSE,TRUE
8,GEO,59,35776,35799,0.000272787,1.87,1436.15,2300,TRUE,FALSE,TRUE
8,GEO,118,35670,35893,0.00264522,55.09,1435.82,4200,TRUE,FALSE,TRUE
8,GEO,118,35717,35817,0.001186606,55.23,1436.12,4200,TRUE,FALSE,TRUE
8,GEO,0,35708,35879,0.00202782,55.2,1435.1,4200,TRUE,FALSE,TRUE
8,GEO,104.21,35708,35864,0.00185027,55.16,1436.08,4200,TRUE,FALSE,TRUE
8,GEO,118,35775,35799,0.00028465,1.98,1436.13,1000,TRUE,FALSE,FALSE
8,GEO,105.7,35792,35796,4.74E-05,0.6,1436.1,4600,TRUE,FALSE,FALSE
8,GEO,82.94,35761,35811,0.000593035,0.09,1436.1,1410,TRUE,FALSE,FALSE
8,GEO,62.7,35777,35796,0.000225351,0.01,1436.11,2250,FALSE,FALSE,TRUE
8,GEO,140,35774,35797,0.0002728,0.08,1436.06,3500,TRUE,FALSE,FALSE
8,GEO,140,35788,35799,0.000130445,0,1436.1,3500,TRUE,FALSE,FALSE
9,GEO,-36.25,35897,35909,0.000141935,4.08,142.08,2380,FALSE,FALSE,TRUE
9,GEO,69.48,35765,35810,0.000533713,3.68,1436.14,2380,FALSE,FALSE,TRUE
9,GEO,103.84,35741,35832,0.001079312,1.41,1436.12,2380,FALSE,FALSE,TRUE
10,GEO,23.48,35770,35804,0.000403255,0.06,1436.07,1500,FALSE,TRUE,FALSE
10,GEO,60.01,35771,35802,0.000367678,0.03,1436.12,1156,FALSE,FALSE,TRUE
10,GEO,-52.51,35760,35814,0.000640463,0.05,1436.1,1156,FALSE,FALSE,TRUE
10,GEO,-130.05,35757,35817,0.000711626,2.54,1436.1,1156,FALSE,FALSE,TRUE
10,GEO,-179.8,35706,35868,0.001921389,0.01,1436.13,1156,FALSE,FALSE,TRUE
10,GEO,-12.15,35774,35799,0.000296514,0.04,1436.12,1156,FALSE,FALSE,TRUE
10,GEO,-52.4,35784,35784,0,0,1436.1,1156,FALSE,FALSE,TRUE
10,GEO,76,35323,35750,0.005094675,0.46,1423.35,1766,TRUE,FALSE,FALSE
10,GEO,-14.5,35694,35815,0.001436219,0.45,1434.47,1800,TRUE,FALSE,FALSE
10,GEO,165.8,35372,35572,0.002389943,0.56,1420.05,2094,TRUE,FALSE,FALSE
10,GEO,128.2,35783,35787,4.74E-05,0.05,1436.04,3507,TRUE,FALSE,FALSE
10,GEO,128,35782,35792,0.000118604,0.04,1436.13,3379,TRUE,FALSE,FALSE
10,GEO,-104.41,35170,35170,0,0,1436,3200,TRUE,FALSE,FALSE
10,GEO,-135,35786,35788,2.37E-05,0.42,1436.14,3175,TRUE,FALSE,FALSE
10,GEO,82.5,35777,35795,0.000213493,0,1436.1,3136,TRUE,FALSE,FALSE
10,GEO,55,37782,37807,0.000283033,0.1,1436.1,3400,TRUE,FALSE,FALSE
10,GEO,74,35722,35851,0.001530013,0.03,1436.1,2200,TRUE,FALSE,FALSE
10,GEO,55,35702,35872,0.002016273,28.5,1436.1,1425,TRUE,FALSE,FALSE
10,GEO,91,35779,35792,0.000154191,0.04,1436.04,,TRUE,FALSE,FALSE
10,GEO,95,35767,35802,0.00041514,4.76,1435.99,1148,TRUE,FALSE,FALSE
10,GEO,-38.9,35754,35819,0.000770937,5.99,1436.13,4536,FALSE,FALSE,TRUE
10,GEO,-101.21,35776,35796,0.000237214,4.02,1436.09,2850,FALSE,TRUE,FALSE
10,GEO,-49,35693,35878,0.002194257,11.53,1436.06,3180,TRUE,FALSE,FALSE
10,GEO,-174,35773,35796,0.000272806,9.4,1436.99,3180,TRUE,TRUE,FALSE
10,GEO,-171.35,35773,35787,0.000166074,8.74,1435.7,3180,TRUE,TRUE,FALSE
10,GEO,-150.53,35767,35803,0.000426996,10.6,1436.04,3180,TRUE,FALSE,FALSE
11,GEO,154,35788,35794,7.12E-05,0.01,1436.1,2500,FALSE,TRUE,FALSE
11,GEO,-40.75,35768,35802,0.000403274,1.64,1436.04,3180,TRUE,FALSE,FALSE
11,GEO,88.76,35768,35808,0.000474406,0.9,1436.2,3180,TRUE,FALSE,FALSE
11,GEO,-62.43,35768,35809,0.00048626,0.02,1436.11,3180,TRUE,FALSE,FALSE
11,GEO,55,35784,35789,5.93E-05,0.06,1436.11,4463,FALSE,TRUE,FALSE
12,GEO,75,35780,35793,0.000154187,0.01,1436.1,4143,FALSE,TRUE,FALSE
12,GEO,-3.99,35783,35789,7.12E-05,0.04,1436.1,,FALSE,TRUE,TRUE
12,GEO,65,35633,35796,0.00193658,0.01,1432,,FALSE,TRUE,TRUE
12,GEO,44.5,35778,35794,0.000189771,0.01,1436.09,3600,FALSE,TRUE,FALSE
12,GEO,-84.03,35772,35800,0.0003321,0.07,1436.09,2495,FALSE,TRUE,FALSE
12,GEO,-100.81,35777,35796,0.000225351,0.02,1436.1,3800,FALSE,TRUE,FALSE
12,GEO,-118.85,35782,35789,8.30E-05,0.01,1436.07,4027,FALSE,TRUE,FALSE
12,GEO,-133,35788,35794,7.12E-05,0.07,1436.1,2950,FALSE,TRUE,FALSE
12,GEO,36.09,35766,35806,0.000474428,0.07,1436.08,3190,FALSE,TRUE,FALSE
12,GEO,103,35777,35795,0.000213493,0.09,1436.1,2600,FALSE,TRUE,FALSE
12,GEO,96.53,35782,35791,0.000106745,0.05,1436.1,2600,FALSE,TRUE,FALSE
12,GEO,-11,35987,35995,9.44E-05,0.11,1446.57,2532,FALSE,TRUE,FALSE
12,GEO,74,35763,35810,0.000557447,0.23,1436.1,1982,TRUE,FALSE,FALSE
12,GEO,93.5,35782,35805,0.000272748,0.1,1436.1,3164,TRUE,FALSE,FALSE
12,GEO,83,35775,35775,0,0,1436.1,2110,TRUE,TRUE,FALSE
12,GEO,55,35782,35796,0.000166038,0.09,1436.23,3093,TRUE,FALSE,FALSE
12,GEO,50,35779,35794,0.000177909,0.02,1436.1,3124,FALSE,TRUE,FALSE
12,GEO,55,35712,35872,0.001897443,27.1,1436,1425,TRUE,FALSE,FALSE
12,GEO,55,35695,35880,0.002194153,30.97,1436.14,1432,TRUE,FALSE,FALSE
12,GEO,83,35690,35871,0.002147068,4.96,1435.8,1425,TRUE,FALSE,FALSE
12,GEO,111.7,35699,35834,0.001601937,30.04,1435.06,1425,TRUE,FALSE,FALSE
12,GEO,111.7,35695,35874,0.002123142,28.09,1436.01,1425,TRUE,FALSE,FALSE
12,GEO,32.5,35700,35874,0.002063714,5.09,1436.13,1425,TRUE,FALSE,FALSE
12,GEO,129.5,35774,35797,0.0002728,5.06,1436.05,1425,TRUE,FALSE,FALSE
12,GEO,132.04,35776,35797,0.000249072,0.01,1436.1,4400,FALSE,TRUE,FALSE
